Country,Region,Community,Seagrass,Families,Men,Women,Children,Household size,Own Boat,Boat Quantity,Own Fishing Gear,Gear Quantity,Household Occupations,Annual Household Income,Fishing for food,Fishing for livilihood
Sri Lanka,Puttalam,Puttalam North,0,1,1,1,3,5,0,0,0,0,2,357,0,0
Sri Lanka,Puttalam,Puttalam North,0,1,1,1,4,6,0,0,0,0,1,1429,0,0
Sri Lanka,Puttalam,Puttalam North,0,1,1,1,8,10,1,1,0,0,1,1429,1,1
Sri Lanka,Puttalam,Puttalam North,0,1,1,1,5,7,0,0,0,0,1,1429,0,0
Sri Lanka,Puttalam,Puttalam North,0,1,1,2,0,3,0,0,0,0,1,1429,0,0
Sri Lanka,Puttalam,Puttalam North,0,1,1,1,3,5,0,0,0,0,0,1429,0,0
Sri Lanka,Puttalam,Mullipuram,0,1,1,1,3,5,0,0,0,0,0,1429,0,0
Sri Lanka,Puttalam,Mullipuram,1,1,1,1,5,7,1,1,0,0,2,1429,1,1
Sri Lanka,Puttalam,Mullipuram,0,1,1,1,5,7,0,0,0,0,1,1429,0,0
Sri Lanka,Puttalam,Mullipuram,0,1,1,1,7,9,0,0,0,0,1,3571,0,0
Sri Lanka,Puttalam,Manalathivu,0,1,0,1,2,3,0,0,0,0,0,3571,0,0
Sri Lanka,Puttalam,Manalathivu,1,1,1,1,2,4,0,0,0,0,2,3571,1,1
Sri Lanka,Puttalam,Manalathivu,0,1,1,1,3,5,0,0,0,0,1,3571,0,0
Sri Lanka,Puttalam,Manalathivu,0,1,1,1,1,3,0,0,0,0,1,7143,0,0
Sri Lanka,Puttalam,Manalathivu,1,1,1,1,2,4,1,1,0,0,1,1429,1,1
Sri Lanka,Puttalam,Pudukuduirippu,0,1,1,1,7,9,0,0,0,0,1,1429,0,0
